City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
75,Kholodnyy,RU,62.72,147.95,0.68,90,100,1.7,overcast clouds,2020-11-01 14:33:17
76,Rocha,UY,-34.48,-54.33,67.59,43,0,7.09,clear sky,2020-11-01 14:33:17
77,Ostrovnoy,RU,68.05,39.51,35.02,88,82,15.57,broken clouds,2020-11-01 14:33:17
78,Moron,AR,-34.65,-58.62,73.99,52,0,5.82,clear sky,2020-11-01 14:33:17
79,Maturin,VE,9.75,-63.18,84.36,77,90,5.95,light rain,2020-11-01 14:33:17
80,Cape Town,ZA,-33.93,18.42,77.0,50,0,14.99,clear sky,2020-11-01 14:29:11
81,Hermanus,ZA,-34.42,19.23,75.99,55,0,8.99,clear sky,2020-11-01 14:33:17
82,Swan Hill,AU,-35.34,143.55,56.75,65,0,5.88,clear sky,2020-11-01 14:33:17
83,Zima,RU,53.92,102.04,17.26,86,0,5.66,clear sky,2020-11-01 14:31:46
84,Port Hedland,AU,-20.32,118.57,77.0,73,38,13.87,scattered clouds,2020-11-01 14:33:17
85,Olenegorsk,RU,68.15,33.3,36.1,93,100,9.4,overcast clouds,2020-11-01 14:33:18
86,Bonavista,CA,48.65,-53.11,37.0,55,9,9.17,clear sky,2020-11-01 14:33:18
87,Nguru,NG,12.88,10.45,94.86,14,100,8.41,overcast clouds,2020-11-01 14:33:18
88,Pisco,PE,-13.7,-76.22,62.6,93,90,4.7,light intensity drizzle,2020-11-01 14:33:18
89,La Ronge,CA,55.1,-105.28,26.6,86,100,5.82,overcast clouds,2020-11-01 14:32:22
90,Saskylakh,RU,71.92,114.08,-11.85,87,64,9.55,broken clouds,2020-11-01 14:33:18
91,Natal,BR,-5.79,-35.21,84.2,70,75,13.87,broken clouds,2020-11-01 14:30:34
92,Avarua,CK,-21.21,-159.78,75.2,83,91,10.29,overcast clouds,2020-11-01 14:33:18
93,Tougan,BF,13.07,-3.07,99.32,9,35,10.74,scattered clouds,2020-11-01 14:33:18
94,Cabo Rojo,PR,18.09,-67.15,88.0,62,100,4.0,overcast clouds,2020-11-01 14:33:18
95,Hualmay,PE,-11.1,-77.61,67.3,66,40,10.0,scattered clouds,2020-11-01 14:33:18
96,Sangin,AF,32.07,64.84,52.74,33,0,3.94,clear sky,2020-11-01 14:33:18
97,Beringovskiy,RU,63.05,179.32,22.46,97,100,6.73,overcast clouds,2020-11-01 14:33:18
98,Egvekinot,RU,66.32,-179.17,10.53,86,0,2.08,clear sky,2020-11-01 14:33:19
99,Santa Maria,BR,-29.68,-53.81,72.09,53,17,8.12,few clouds,2020-11-01 14:30:56
100,North Bend,US,43.41,-124.22,50.0,100,1,6.93,clear sky,2020-11-01 14:33:19
101,Edd,ER,13.93,41.69,90.14,40,3,22.73,clear sky,2020-11-01 14:33:19
102,Hasaki,JP,35.73,140.83,57.2,100,75,5.82,broken clouds,2020-11-01 14:33:19
