City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Lanzhou,CN,2020-10-30 16:20:41,36.06,103.79,46.99,57,28,4.65
98,Mar Del Plata,AR,2020-10-30 16:18:03,-38.0,-57.56,62.6,36,0,3.36
99,Nanakuli,US,2020-10-30 16:20:41,21.39,-158.15,77.0,65,1,9.17
100,Olafsvik,IS,2020-10-30 16:20:42,64.89,-23.71,41.81,74,65,9.71
101,Iwanai,JP,2020-10-30 16:20:42,42.97,140.51,45.41,84,70,4.25
102,Tasiilaq,GL,2020-10-30 16:20:42,65.61,-37.64,32.0,97,75,3.36
103,Coquimbo,CL,2020-10-30 16:20:42,-29.95,-71.34,53.6,87,90,9.17
104,Domoni,KM,2020-10-30 16:20:42,-12.26,44.53,78.39,76,91,4.18
105,Paramonga,PE,2020-10-30 16:20:42,-10.67,-77.83,68.9,68,88,8.37
106,Bouna,CI,2020-10-30 16:16:05,9.27,-3.0,93.65,30,3,7.94
107,Banda Aceh,ID,2020-10-30 16:19:26,5.56,95.32,80.82,75,100,10.09
108,Esperance,AU,2020-10-30 16:20:42,-33.87,121.9,57.2,67,77,13.87
109,Khiv,RU,2020-10-30 16:20:43,41.75,47.93,55.53,65,1,1.61
110,College,US,2020-10-30 16:20:43,64.86,-147.8,12.0,85,90,2.35
111,Nautla,MX,2020-10-30 16:20:43,20.22,-96.78,74.26,52,1,16.37
112,Bundaberg,AU,2020-10-30 16:20:43,-24.85,152.35,75.99,78,75,19.46
113,Casablanca,MA,2020-10-30 16:20:43,33.59,-7.62,78.8,73,0,9.17
114,Seaford,GB,2020-10-30 16:17:54,50.77,0.1,57.99,97,95,3.0
115,Mumford,GH,2020-10-30 16:20:43,5.26,-0.76,81.45,75,85,7.52
116,Tautira,PF,2020-10-30 16:20:43,-17.73,-149.15,75.2,88,20,2.24
117,Taltal,CL,2020-10-30 16:20:43,-25.4,-70.48,65.17,54,8,7.72
118,Leningradskiy,RU,2020-10-30 16:20:44,69.38,178.42,16.9,93,55,19.28
119,Saint-Philippe,RE,2020-10-30 16:20:44,-21.36,55.77,68.0,64,20,14.99
120,Akonolinga,CM,2020-10-30 16:20:44,3.77,12.25,81.19,63,50,1.57
121,Georgetown,MY,2020-10-30 16:17:56,5.41,100.34,82.4,83,20,3.36
122,Ituporanga,BR,2020-10-30 16:20:44,-27.41,-49.6,72.0,66,58,1.99
123,Antalaha,MG,2020-10-30 16:17:07,-14.9,50.28,71.69,80,44,12.82
124,Pisco,PE,2020-10-30 16:20:44,-13.7,-76.22,69.01,68,94,8.05
125,Buala,SB,2020-10-30 16:20:44,-8.14,159.59,78.15,80,100,1.21
126,Cidreira,BR,2020-10-30 16:20:44,-30.18,-50.21,65.55,59,69,10.07
127,Mabaruma,GY,2020-10-30 16:20:44,8.2,-59.78,83.32,86,80,7.09
128,Airai,TL,2020-10-30 16:20:45,-8.93,125.41,61.56,99,54,1.25
129,Road Town,VG,2020-10-30 16:20:43,18.42,-64.62,86.0,74,40,13.87
130,Rivera,UY,2020-10-30 16:18:01,-30.91,-55.55,65.05,52,0,11.61
131,Ribeira Brava,PT,2020-10-30 16:20:45,32.65,-17.07,75.2,64,20,23.04
132,Nioro,GM,2020-10-30 16:20:45,13.35,-15.75,98.26,18,90,3.96
133,Bathsheba,BB,2020-10-30 16:20:45,13.22,-59.52,80.6,78,75,24.16
134,Deputatskiy,RU,2020-10-30 16:20:45,69.3,139.9,3.6,96,100,0.45
135,Tiarei,PF,2020-10-30 16:20:46,-17.53,-149.33,75.2,88,20,2.24
136,Yanliang,CN,2020-10-30 16:20:46,34.66,109.23,53.01,100,90,8.95
137,Henties Bay,NA,2020-10-30 16:20:17,-22.12,14.28,60.01,80,1,10.2
138,Kendari,ID,2020-10-30 16:20:46,-3.94,122.5,77.13,88,47,3.51
139,Sakakah,SA,2020-10-30 16:20:46,29.97,40.21,82.4,8,0,3.36
140,Urucara,BR,2020-10-30 16:20:46,-2.54,-57.76,96.01,48,89,1.3
141,Port Hedland,AU,2020-10-30 16:20:46,-20.32,118.57,80.6,51,63,14.99
142,Kropotkin,RU,2020-10-30 16:20:46,45.44,40.58,69.01,62,72,4.9
143,Isangel,VU,2020-10-30 16:20:00,-19.55,169.27,74.79,81,91,11.21
144,Poum,NC,2020-10-30 16:20:46,-20.23,164.02,77.43,80,48,15.9
145,Rocha,UY,2020-10-30 16:20:46,-34.48,-54.33,61.36,57,0,9.55
146,Elat,IL,2020-10-30 16:16:58,29.56,34.95,87.8,38,0,13.87
147,Pangody,RU,2020-10-30 16:20:47,65.85,74.49,25.45,98,95,9.04
148,Sitka,US,2020-10-30 16:20:47,57.05,-135.33,37.4,93,90,5.82
149,Aykhal,RU,2020-10-30 16:20:47,66.0,111.5,-0.4,84,0,1.23
150,Portland,US,2020-10-30 16:16:54,45.52,-122.68,51.01,90,90,3.0
151,Alofi,NU,2020-10-30 16:20:47,-19.06,-169.92,71.6,94,58,11.41
152,Chadiza,ZM,2020-10-30 16:20:47,-14.07,32.44,79.66,34,71,5.21
153,Dixon,US,2020-10-30 16:20:47,38.45,-121.82,55.99,65,20,3.98
154,Mount Gambier,AU,2020-10-30 16:20:47,-37.83,140.77,48.2,100,40,9.17
155,Bakchar,RU,2020-10-30 16:20:47,57.02,82.07,35.49,98,99,7.47
156,Sawtell,AU,2020-10-30 16:20:47,-30.38,153.1,71.6,83,90,13.87
157,Acarau,BR,2020-10-30 16:18:10,-2.89,-40.12,88.12,51,30,19.44
158,Cururupu,BR,2020-10-30 16:20:47,-1.83,-44.87,90.5,50,73,9.6
159,Tiksi,RU,2020-10-30 16:20:47,71.69,128.87,11.66,96,100,5.95
160,Grand-Lahou,CI,2020-10-30 16:20:48,5.14,-5.02,82.96,73,27,6.96
161,Faanui,PF,2020-10-30 16:20:48,-16.48,-151.75,78.96,80,0,11.21
162,Dharchula,IN,2020-10-30 16:20:48,29.85,80.53,56.73,36,0,6.11
163,Constitucion,CL,2020-10-30 16:20:48,-35.33,-72.42,67.39,51,0,5.75
164,Cabo San Lucas,MX,2020-10-30 16:20:48,22.89,-109.91,78.01,63,40,4.7
165,Severo-Kurilsk,RU,2020-10-30 16:20:48,50.68,156.12,43.25,85,95,26.6
166,Kodiak,US,2020-10-30 16:19:55,57.79,-152.41,35.6,74,90,5.82
167,Palora,EC,2020-10-30 16:20:48,-1.7,-77.93,73.4,83,90,4.7
168,Falun,SE,2020-10-30 16:20:48,60.6,15.63,39.2,100,94,3.36
